1,2,亞股走軟 年線邁向連二黑,"亞洲股市在2015年的最後一個交易日幾乎全面走軟，預料也將以下跌為劇烈震盪的一年劃上句號。國際油價上午小幅反彈，但仍在37美元之下，今年延續去年跌勢，重挫市場，這一趨勢可能還會延續到2016年。台股今天（31日）正午左右，亞洲股市幾乎全面下跌，儘管跌幅最大的深圳股市也僅跌約0.6%，但深圳綜合指數今年來大漲65.2%，傲視全亞洲。上證綜合指數則漲10.1%。但恆生國企指數大跌逾19%，是亞洲今年最糟的股市。澳洲雪梨股市最新報5,295.9點，跌0.5%，今年全年跌幅擴大至2.1%；恆生指數目前大約在平盤震盪，全年跌逾7%。香港和雪梨今天會提早收盤。亞洲不少市場都已提前封關。日本市場今日休市，不過今年的表現出眾，Topix指數上漲近10%，日經225指數也漲逾9%。南韓首爾股市也提前於周三封關，Kospi指數年線上漲2.4%，收在1,961.31點。泰國、印尼和菲律賓股市今天也都休市，今年大盤指數都收黑，泰印跌幅超過10%。MSCI亞太指數今年全年可能下跌至少4%，年線連續第二年收黑是2002年來首見。紐約西德州原油最新報每桶36.8美元，漲0.5%，周四大跌3%，今年年線邁向大跌三成。倫敦布侖特原油目前上漲0.5%報36.6美元，周四跌3.5%，今年可能至少跌35%。預料明年跌勢仍不停，持續對股匯市帶來沉重壓力。美元指數大致持平於98.25點；美元兌日圓報120.455日圓，歐元兌美元則守在1.0925美元。",,,,,,,,,,,,,,,,,,,,,,,,
2,2,東吳「正義學舍」海砂屋將解約,東吳大學向中華電信承租位於新北市三重區的「正義學舍」鑑定為海砂屋，雖外觀看不出，也無立即危險，校方將協商解約，重新安置學生的住宿問題。,,,,,,,,,,,,,,,,,,,,,,,,
3,1,柯文哲：我是圓仔 不是造神,台北市政府出版的2016年日曆印上多張市長柯文哲照片，遭藍營質疑造神。柯文哲今天笑說，「我應該是（大貓熊）『圓仔』吧，造神？」台北市觀傳局出版柯文哲名言紙膠袋、柯文哲圖像的購物袋、T恤等各種商品，在北市府一樓販售處販賣，還曾在北市府官方LINE群組舉辦「給柯P的一句話」活動。藍營議員昨天也質疑，觀傳局出版的日曆幾乎每個月都有柯文哲的照片，有「造神」之嫌。綠營議員則指出，前市長郝龍斌在任時，日曆印的郝龍斌照片比柯文哲還多。對此，柯文哲上午出席「公共住宅財務計畫記者會」，會後受訪時笑說「我應該是『圓仔』吧，造神？」柯文哲說，自己不會去造神，他發現當神很危險，「我已經搞清楚媒體造神、滅神的循環，我要很努力的跳脫，不會搞什麼造神，我沒那麼笨」，有前車之鑑，他不會重蹈覆轍。柯文哲也說自己「只是搞笑藝人，怎麼造神」，他沒看過觀傳局做的日曆，不會去管這種事，但他聽說自己現在是很好賣的商品，市府販售處賣的不錯。,,,,,,,,,,,,,,,,,,,,,,,,
4,2,科博館館慶 元旦門票免費,科博館明天是30周年館慶，各式特展及活動登場，將推科博館的故事特展，立體劇場同步年度新片「小動物大世界」，延續到105年。特展精選30件蒐藏精品，傳達自然科學深度意涵，包括阿波羅11號登陸月球時，採集的月岩、已滅絕的隆鳥所產的隆鳥蛋、石虎標本等。館慶送好康，入館門票免費，包括本館及三園區(921地震教育園區、鳳凰谷鳥園生態園區、車籠埔斷層保存園區) 都免費，不含收費特展、太空劇場、立體劇場。另太空劇場及立體劇場，可享一般團體優惠價。科館博年度大片小動物大世界，由英國BBC Earth團隊拍攝完成，描述浩瀚世界裡，可愛小型動物穿梭其間的生活。有微型攝影機、微型鏡頭、高速攝影機及類似用直升機空拍一樣飛在牠們上頭追蹤記錄，捕捉生物活動的情景。另外，出版品小型展展示科博館歷年來出版的館訊及科普書籍，皆是科博館人員的研究心血，以深入淺出、生動有趣的方式撰寫成書，傳遞科普知識。館慶當天到館參觀的民眾，也可以選購運用科博館建築群及亮點展品，開發的館慶紀念商品紙膠帶及館慶限量紀念。,,,,,,,,,,,,,,,,,,,,,,,,
5,2,晶片整併爆發 F-矽力砸重金收購美信,晶片整併潮爆發，類比IC公司F-矽力（6415）捷足先登搶在德儀之前，宣布收購美商美信（Maxim Integrated.）智慧電表及能源監控部門，交易金額高達1.05億美金，預計於2016年第1季完成交易並進行部門整合，在取得美信智慧電表相關IP及客戶源後，F-矽力配合下游模組廠全力搶攻中國十三五計畫智慧電表標案商機。美信為一家擁有32年歷史老牌晶片開發公司，主要從事於工業、通信以及普通消費、計算機市場IC設計研發，公司總部位於美國加州，全球銷售額達到24億美元，先前彭博資訊預言2016年晶片整併潮加快腳步，點名德儀將收購美信，沒想到F-矽力歲末開第一槍，先收購美信智慧電表及能源監控部門。據了解，F-矽力之所以收購美信該部門，除了中國十三五計畫智慧電網工程，對智慧電表標案龐大商機，另外，F-矽力創辦人之一、現任研發部副總裁Michael Grim與美信有所淵源，曾為該公司高階研發主管，瞭解美信技術及IP價值，因而牽線促成該筆整併案成局。而該部門為賺錢單位，只因營業額小，相對於美信貢獻度不大，因而決定分割出售該部門與F-矽力。該交易案預計於明年第1季完成並進行部門整合動作，交易金額1.05億美金，占總資產74.41%，占歸屬於母公司業主之權益82.73%。F-矽力表示，取得美信智慧電表IP，主要考量下游客戶在中國十三五計畫智慧電表布局腳步。法人表示，中國十三五計畫智慧電網布設，智慧電表標案釋出商機龐大，預計明年下半年智慧電表即可見到營收獲利貢獻。,,,,,,,,,,,,,,,,,,,,,,,,
6,2,英、仁「海內外學術界後援會成立大會」,民進黨總統副總統候選人蔡英文、陳建仁出席「海內外學術界後援會成立大會」，蔡英文致詞表示當選後會給學術界最自由、獨立的空間。,,,,,,,,,,,,,,,,,,,,,,,,
7,0,切骨盆深處腫瘤 機器手臂給力,58歲吳女有痔瘡病史，後因肛門流血、解血便就醫，發現罹患大腸癌，因腫瘤位置接近肛門，為了保留肛門，採用機器手臂手術有較好的效果。台大醫院外科部主任賴鴻緒表示，台大自2012年開始使用機器手臂手術系統，4年內執行近1500例手術，有別其他醫院可能聚焦在某些科別，台大使用機器手臂的術式涵蓋泌尿科、一般外科、心臟外科、胸腔外科、婦科、耳鼻喉科及大腸直腸外科等領域。台大醫院購入新型雙主控機器手臂，賴鴻緒說，新的機器更靈巧，醫師開起來更順手，病患舒適度較佳，且雙主控手臂除了手術醫師操作畫面，其他醫師也可從另一台主機系統同步觀看手術操作畫面，讓技術學習、傳承更到位。台大醫院大腸直腸外科主任梁金銅表示，機器手臂比傳統的腹腔鏡手術能看得更清楚、操作更精密，且比人手更穩定，但外界多詬病價格高昂，以直腸手術來說，病患須自費新台幣20萬到25萬元，且須付機器開機費約5萬元。他說，執行機器手臂手術應有道德考量，台大的做法是困難度很高的手術才會用機器手臂，若一般手術還是以人手操刀，不需要「用原子彈打小鳥」。比較適合以機器手臂操作的手術，梁金銅舉例，肥胖或體型較大的男性病患、患處在骨盆深處位置，若用傳統腹腔鏡，鏡子一直抖、空間也很小，可能看不清楚或操作不順。吳女在11日完成台灣首例雙主控機器手臂大腸癌切除手術，梁金銅說，吳女士的腫瘤相當接近肛門，若用傳統手術難度較高，為了保留肛門，減少病患麻煩，採用機器手臂執行，術後恢復良好。,,,,,,,,,,,,,,,,,,,,,,,,
8,0,韓報：北韓統戰部長金養建死因是謎團,對於北韓勞動黨書記兼統一戰線部部長金養建於29日車禍死亡，南韓國家情報院昨天向國會國防委員表示，完全未發現金養建與金正恩反目徵兆，暫時認為這是單純的車禍。南韓「中央日報」今天指出，南韓國家情報院相關負責人表示，金養建結束視察位於新義州的測量機械工廠之後，在為參加金正恩最高司令官推戴日（2011年12月30日）紀念活動返回平壤途中發生追撞事故。有傳聞稱，金養建乘坐的車輛與開往新義州的貨車發生追撞，金養建當場死亡，目前正對此進行確認。南韓國家情報院相關人士稱，迄今為止，並未看到車禍以外的可能性。但北韓並未說明車禍的原委。報導指出，雖然南韓國家情報院分析認為是單純的車禍，但金養建的死因依然是個謎團。實際上，對北韓事務消息靈通人士之間盛傳，金養建（73歲）遲早會坐上現年87歲的最高人民會議常任委員長金永南的位置。一名對北韓消息靈通人士稱，金養建慣於韜光養晦，權力起伏變動不大，但他沒有派系，而且統一戰線部的地位也不高，易於被鏟除。出於權力內部暗鬥的層面，這很有可能是偽裝成車禍的暗殺事件。據報導，北韓一般書記級人士的葬禮會舉行4天以上，然而此次金養建的葬禮為3日葬且在發布訃告第2天立即出殯，這也有些不尋常。據悉，目前平壤傳言稱此次事故是蓄意暗殺。,,,,,,,,,,,,,,,,,,,,,,,,
9,1,就是這個阿兵哥！老兵找到回家的路,桃園市年約8旬的程姓老翁，日前在龍岡一帶迷路，被經過員警發現後，老翁告訴員警「我家附近每天都會有個阿兵哥站在路中間」，讓員警聯想到龍岡圓環中間的大地標銅像，靠著挨家挨戶的詢問，才終於找到住家位置。家住桃園市中壢區龍岡一帶的８旬程姓老翁，日前在龍東路上一家彩卷行迷途，中壢分局員警上前詢問，只見老翁用外省腔喃喃自語道「啊~~走了一整天都不知道這是哪裡了！」但卻不知道自己的名字，員警靈機一動將手掌攤開，要老翁用寫的，沒想到老翁真的寫出了自己的名字。員警查詢之下，戶籍地在新竹的老翁在龍岡一帶租屋，老翁則說，「我家附近每天都會有個阿兵哥站在路中間」，警方立即聯想到龍岡圓環中間的大地標銅像，以巡邏車載老人至該地，以「土法煉鋼」方式詢問周遭路人、店家及里長，才終於找到老翁位在平鎮區明德街的租屋處。警方表示，程姓老翁在抗戰時期來到臺灣，沒有家人也沒有結婚，過去都跟賀姓同鄉同住，但隨著同鄉的去世，同鄉子嗣也陸續成家立業，不好意思再去打擾他們的生活，才獨自在外租屋，員警答應程翁會常常來探望，讓他露出了歡喜的笑容。,,,,,,,,,,,,,,,,,,,,,,,,
10,1,澳洲跨年倒數計時 天氣完美煙火待命,澳洲民眾紛紛準備迎接新的1年到來，而全澳的天氣，則可說是幾近完美。雪梨跨年夜當天從早到晚都是晴朗的25度天氣，墨爾本氣溫則高達39度，但會提早轉涼，派對動物們早就成群結隊聚集到市中心各自屬意的地點，準備迎接2016年。有些準備參加跨年狂歡的人拿不到雪梨港世界知名跨年夜慶祝活動場內位置，乾脆早早沿著「麥馬洪斯點」（McMahons Point）水畔搭了數百個帳棚。雪梨施放2016年第1場煙火時，氣溫將會是「相當優」的20度，墨爾本半夜前則可望有清新的冷鋒掃過。澳洲氣象局（Bureau National OperationsCentre）副資深預報員克魯希爾（Robert Kruisheer）告訴「澳洲每日郵報」（Daily Mail Australia）：「所有跨年派對將遇到十分適合飲用啤酒的天氣。」2016年跨年活動將從晚上6時起，由特技表演高手霍爾（Matt Hall）在雪梨港上方的空中表演拉開序幕，8時40分時，海港大橋橋塔將開始投射迎接跨年慶典的圖樣。今年的主題是「多彩之城」（City of Color），跨年時將施放高達12分鐘的煙火，活動主辦單位表示，今年額外增加2400發，為有史以來規模最龐大的1次。,,,,,,,,,,,,,,,,,,,,,,,,
