1,1,戶籍地址有2016 樂園門票199元,元旦有三天連假，不少民眾有出遊計畫，主題樂園推優惠方案，有業者推家中戶籍地址有2、0、1、6等數字，憑相關證明入園每人優惠門票199元；觀光局為刺激消費也推主題樂園買一買一優惠，還有業者推持優惠券入園，三人同行兩人免費，第四、五人還享半價，號召民眾揪團出遊。六福村主題樂園明年1月1日到3日連假期間，戶籍地址上的鄰街路段巷弄號樓有2、0、1、6其中任一數字，持本人有照及地址的身分證件如身分證、駕照，就能享199元優惠價，一人現省800元，且家中任一人符合優惠資格，戶籍地相同的全家大小門票都可享199元優惠票價。台中麗寶樂園則有三重門票優惠，憑主題樂園買一送一優惠券入園，可享三人同行兩人免費及第四、五人半價，平均一人票價不到300元；購買原價299元月光票的民眾，不僅能在下午5時提前入園，還能免費再帶一人入園；星座是魔羯座或水瓶座，1月入園還能享門票半價優惠。劍湖山世界主題樂園元旦三天連假將施放摩天輪白日彩色煙火，並推全民歡慶價599元、中午12時入園門票價格399元，另配合樂園30周年慶，1986年出生民眾憑證可免費入園。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,勇士柯瑞腿部不適 恐休兵兩場,勇士柯瑞（Stephen Curry）火力無人能擋，昨天連弟弟塞斯柯瑞（Seth Curry）上場也沒用，但未來兩場比賽他卻可能敗給自己的身體。根據CBS體育報導，柯瑞因為腿部不適，沒有出席今天的球隊訓練，未來兩場比賽可能會停休。勇士未來兩場比賽將作客於小牛與火箭，勇士代理教練華頓（Luke Walton）表示，為了柯瑞的健康著想，未來兩場比賽，會視柯瑞賽前的情況決定是否出賽。昨天柯瑞率隊出戰國王，與塞斯柯瑞首度在NBA對位交手，就繳出23分14籃板10助攻表現，不僅寫下個人生涯第六次大三元成績，還助隊以122：103奪下勇士主場15連勝。如今傳出柯瑞腿部不適，令眾人擔心不已。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,愛之味躋身雀巢重要合作夥伴 股價漲,愛之味成為雀巢亞洲區重要合作夥伴，今天下午將正式簽約，成為雀巢亞太區的戰略合作夥伴，透過合作兩家公司一起共創雙贏，愛之味明年營收出現想像空間。愛之味今天股價也啟動慶祝行情，盤中一度來到9.28元、最高漲幅達5%。愛之味、雀巢今天舉行「雀巢與愛之味戰略合作簽約 」記者會，邀請雀巢大中華區水業務總裁 Gilles Duc Gilles Duc 杜克、台灣雀巢總經理 Mayank Trivedi崔伍迪 ；至於愛之味則由集團總裁陳哲芳領軍，出席成員包括第一生技集團董事長陳冠翰 、第一生技集團董事長陳冠翰。法人指出，愛之味營運面傳利多，除了第3季獲利終結連6季虧損外，法人推估，第4季冬季甜點及韓式泡菜銷售旺季，業績延續第3季，全年獲利可望有不錯表現。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,火箭哈登 情場、球場兩失意,火箭哈登（James Harden）與女友卡戴珊（Khloe Kardashian）分手後，情場、球場兩失意，今天他率隊出戰老鷹，以115：121慘遭逆轉，苦吞二連敗。本戰火箭首節打出41：25的好開始，但最後三節有點後繼無力；第四節最後1分13秒，老鷹後衛貝茲摩（Kent Bazemore）用三分球將戰局扳成115：115平手，最後老鷹靠著1次擦板投籃，及2次兩罰俱中，終場以121：115贏球。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,熱火韋德進球數突破7000大關仍落敗,今天韋德（Dwyane Wade）率領熱火前往灰熊主場踢館，儘管他完成個人生涯第7000個進球數，仍無法助隊贏球，最後熱火在延長賽以90：99敗給灰熊。首節一開始韋德手感不佳，前兩次投籃都沒進，剩下5分14秒時，他才跳投命中，成功寫下個人生涯第7000個進球數。成為NBA史上第65位進球數達到7000球的球員，同時也是現役球員第11位完成者。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,反核廢料柯文哲說新上任總統要解決,台電核二乾式貯存場最快兩年半後啟用，到時勢必會影響北北基地區，台北市長柯文哲今天表示，他一定會表達反對立場，問題是核一核二核廢料已經塞滿，新的總統上來要煩惱的問題，把肛門塞起來，叫他一直吃，還是要解決。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,大陸微信十大健康類謠言 牛奶致病榜首,中國大陸微信團隊近日公布2015年微信朋友圈年度謠言和年度十大健康類謠言。「牛奶致病」這條謠言位居健康類謠言榜首。大陸北京日報今天報導，十大健康類謠言其餘9條分別是：小龍蝦是一種處理屍體的蟲子，外國人從不吃；WiFi輻射損害健康；植物油做飯可致癌；吃豬血鴨血能除體內霾；豬肉裡長鉤蟲，高溫殺不死；地暖有輻射會致病；蒸鍋水易致癌；用含氯的自來水蒸煮東西會致癌；喝麥苗汁能治癌。2015年微信朋友圈謠言的舉報處理總量為2169萬，主要以失實性報導為主，占29%比例，食品安全、人身安全、科學常識類謠言分列第2到第4位。微信朋友圈年度十大謠言：微信朋友圈降權；打隱翅蟲會致命；倒著輸入銀行卡密碼會自動報警；兒童牛奶飲料含肉毒桿菌可致白血病；微信綁卡會傾家蕩產；大連吳夢月走失，家長願賣房酬謝；望遠鏡射針傷人摘器官；沐浴乳中的Paraben成分致癌；長期喝豆漿會致乳腺癌；人社部漸進式延遲退休年齡時間表。報導說，「致癌」、「致命」、「致死」、「有毒」、「不要再吃」，成了健康類謠言標題中最常用的5個字眼。此外，小龍蝦每年都很委屈，關於它的謠言傳播不停。實際上，小龍蝦屬於淡水蝦，它攝入的重金屬大部分被轉移到外殼，隨著生長和脫殼，這些重金屬毒素會被移出體外，所以食用小龍蝦，重金屬未必會超標。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,威剛跨足行車紀錄器 進軍海外市場,記憶體模組廠威剛跨足行車紀錄器市場，目前已在日本市場開賣，將主打海外市場。威剛首款行車紀錄器產品RC300採F/2.0大光圈，及140度廣角鏡頭，錄製影像畫質為FHD規格。威剛指出，RC300附贈16GB microSD記憶卡，最大可擴充至128GB容量，可錄製1120分鐘的FHD影片。RC300還內建碰撞感應器(G-Sensor)，當發生交通事故，將可鎖住內容，防止事故影片檔遭刪除。威剛表示，RC300目前已在日本市場開賣，明年1月將在北美及歐洲市場銷售，未來也將在紐澳地區銷售，只是尚無在台灣銷售的計畫。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,學者推馬習角逐諾獎 陸：馬習會得民心,兩岸學界倡議推薦總統馬英九與中國大陸國家主席習近平共同角逐諾貝爾和平獎，大陸國台辦今天對此表示，這是民間自發行為，說明兩岸領導人會面和兩岸關係和平發展成果深得民心。大陸國務院台灣事務辦公室上午舉行例行記者會。發言人馬曉光回應媒體提問時，作上述表示。馬曉光說，兩岸學者專家倡議推薦雙方領導人為諾貝爾和平獎候選人，這是民間自發行為，說明兩岸領導人會面（馬習會）成果及其意義深得民心，廣受歡迎。他表示，這也說明2008年以來兩岸關係和平發展的局面受到兩岸民眾的高度肯定。前北京清華大學建築學院教授彭培根等兩岸學者專家日前公開倡議，向諾貝爾獎委員會推薦馬總統與習近平共同角逐和平獎。發起者彭培根認為，11月7日「馬習會」、習近平9月宣布裁軍30萬、兩岸簽署23項協議，都顯示馬總統與習近平為世界地區和平穩定提供最佳範例。由於兩岸至今和平成果不是一方就能促成，應該要兩位一起推薦才有意義。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,年終保單抓漏 掌握3大要點,接近歲末年終，許多民眾會趁年底規劃健康檢查，而保單也要健檢，壽險業者建議可依照「自身與家庭的現狀」、「未來需求」及「人生主要風險評估」三大要點為保單抓漏。康健人壽行銷長邱柏爾表示，保險是分擔風險的工具，但切記不可買了就放著不管，因為風險會隨著人生階段不同而變化，一定要隨時掌握自身需求與評估風險，選擇對的保險與足夠保障，才能讓保險發揮轉嫁風險的效果。保險規劃時一般可先參考「雙十原則」，也就是保費支出應控制在年收入的十分之一，保險金額則約是年收入的10倍。除了雙十原則外，康健人壽產品開發與策略副總經理唐家舜建議，可依自身與家庭實際的收支狀況、未來需求和人生風險評估等三個面向進行評估，才不會花了大錢卻買不到足夠的保障。唐家舜指出，小資單身族應該著重規劃自身保障以免造成家人負擔，考量預算有限，購買保險時要以最低成本買到足夠的基本保障，因此定期保險擁有低保費、高保障的特性，最適合小資單身族。成家立業族則適合「雞尾酒」保單，保障多樣組合轉嫁不同風險。唐家舜建議這族群的民眾可用「雞尾酒型保單」多樣組合各種保險，包括利用定期險拉高保額到至少能保障家庭未來10年以上的生活費用，並搭配定期醫療險與意外險架好風險防護網，降低未來個人或家庭經濟生活的不確定性。至於空巢熟齡族，著重「照護型」保單以提高銀髮生活保障。許多熟齡族會考慮投保長期看護險，以免將來長期聘請看護的費用成為沉重負擔，然而長期看護保險或醫療保險的保費相對昂貴，且常有因體況而造成加費或無法承保的情形，唐家舜建議可先補足意外傷害保障。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
