1,1,蔡英文：應帶著快樂、希望去投票,蔡英文說，過去幾年政府失能、決策黑箱，最有名的例子就是半分鐘闖關的黑箱服貿，因此讓學生佔領立院24天，50萬人走上街頭。8年前也聽馬英九政府要完成633，現在只剩142，去年的經濟成長率可能保1都有困難，4年前說要黃金10年、逆風高飛，但現在還在逆風，台灣卻一點也高飛不起來。蔡英文說地方縣市政府也是如此，她2010年競選台北市長，提出捷運管線優先興建，她講話不浮誇，但她講了一定做到。蔡英文指出，看到她興建捷運的主張，當時的對手朱立倫馬上跟進，花了很多錢做廣告，每一台公車都寫「三環三線，我能實現」。蔡英文說，但5年過去，有沒有實現？台下民眾大聲回應「沒有」，蔡英文進一步指出，她還在網路看見有人說「三環三線，只會畫線」。蔡英文說，對手也經常批評她，沒有提出具體政策。她澄清，她從7月8日公布第一個財政政策以來，已公佈34個政見，涵蓋大多數人民關心問題，居住正義、長照、食安，都做清楚說明。蔡英文說，選舉不是抹黑造謠，是靠實際政策，而人民可能被騙一次，但終究會發現真相，更呼籲下周六投票，人民應該帶著快樂、希望去投票，期待更有效率的政府、穩定成長的經濟、更好的工作、老人家有人照顧、年輕人敢生小來，表示大家的希望，就是蔡英文施政的目標，籲支持者「投下這一票，四年後不會後悔」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,沙國與伊朗關係緊張 德、法、俄籲緩和情勢,德國總理梅克爾（Angela Merkel）的發言人塞柏特（Steffen Seibert）說：「我們呼籲兩國恢復對話。我們籲請兩國竭盡所能改善外交關係。」他並重申，對於沙烏地阿拉伯處決包括1位重要什葉派教士內的47名死刑犯，德國感到「遺憾」。伊朗群眾為抗議處決作法，攻擊德黑蘭的沙國大使館，沙國因而斷絕兩國外交關係。塞柏特表示，這兩個地區大國的關係「攸關解決敘利亞和葉門的危機，以及整個地區的穩定」。德國經濟部發言人表示，正密切注意沙烏地阿拉伯情勢的發展，未來決定是否批准出口國防裝備到沙國時，相關考量會「有所影響」。外交部發言人也說，並無計畫因大舉處決人犯事件對沙國祭出制裁。法國政府發言人勒佛勒（Stephane Le Foll）說，法國外長法畢斯（Laurent Fabius）呼籲伊朗和沙國，緩和雙方的緊張情勢。俄羅斯外交部則發布聲明，對中東地區情勢惡化表示嚴重關切，並呼籲兩國各自節制，避免任何會使緊張情勢升高的動作。遜尼派統治的沙國與什葉派主導的伊朗數十年來關係緊張，這兩個富藏石油的宿敵對於敘利亞的5年內戰和葉門衝突也立場分歧。伊朗支持敘利亞政權；沙國則領導聯軍對抗葉門的什葉派叛軍。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,105001期威力彩 頭獎槓龜,第105001期威力彩今晚開獎，第一區中獎號碼為11、13、18、26、28、29，第二區中獎號碼為7號。派彩結果，頭獎槓龜。貳獎也槓龜；參獎有6注中獎，各得獎金新台幣15萬元。派彩結果及中獎獎號以台彩公布為準。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,105003期今彩539 頭獎2注中,第105003期今彩539開獎，中獎號碼為3、6、7、12、15。派彩結果，頭獎2注中獎，每注獎金新台幣800萬元。貳獎243注中獎，每注可得2萬元；參獎7619注中獎，每注可得300元。3星彩中獎號碼591，正彩37注中獎，每注可得1萬2500元。4星彩中獎號碼7253，正彩3注中獎，每注可得12萬5000元。實際中獎獎號及派彩內容，以台彩公司公布為準。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,宏碁CES推11.6吋筆電 台幣6千有找,宏碁今天於美國消費電子展（CES）推出2款採用Chrome作業系統產品，包括Chromebase 24一體成型（AIO）電腦，以及售價新台幣6千元有找的11.6吋Chromebook 11筆電。宏碁表示，此2款新產品的推出，將更豐富宏碁Chrome產品陣容；宏碁目前為全球Chromebook領導品牌，2015年前3季囊括全球34%的市占率。宏碁表示，專為視訊對談打造的Acer Chromebase24為業界首款23.8吋、搭載Intel Core處理器的Chrome作業系統AIO，採用10點觸控的Full HD 1080P螢幕，內建4個麥克風、2個立體聲喇叭和可調角度達30度的HD高畫質網路攝影機，可滿足高品質視訊對談需求的使用者。宏碁指出，主打美型與耐用設計的11.6吋Chromebook 11筆電，上蓋採用特殊鋁合金奈米壓印技術（Nano-imprint patterning），厚度僅有18.6公釐，重量1.1公斤，可方便使用者隨身攜帶，且內建支援高動態範圍（High Dynamic Range，HDR）拍照的網路攝影機，可大幅提升視訊品質。宏碁Chromebook 11筆電預計2月份在北美上市，售價為179.99美元（約新台幣5959元）起，泛歐地區（EMEA）也預計2月份開賣；Chromebase 24一體成型電腦的上市時間和價格則未定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,大陸作弊出高招 頭皮牙齒都能收答案,中國大陸2016碩士研究生招生考試日前傳出洩題。大陸媒體報導，近年大陸考試作弊問題嚴重，且手法更高科技，甚至查出用牙齒、頭皮接收答案的作弊事件。大陸長江商報報導，早在2012年研究生考試中，考前試題就遭洩露。在考試當天，教育部門在150多萬考生中，就查獲5000多名學生作弊。報導說，研究生考試、大學入學考試、公務員考試等都曾出現過作弊事件。2008年甘肅天水「替考案」最令社會震驚，這是以山東陽谷縣林業局前副局長霍繼剛為主謀，包括當地校長、老師及多名高二學生參與的代考事件。此外，2014年四川省公務員考試中發現考生用「橡皮擦」作弊，公安機關查獲的作案工具，包括微型相機、筆形掃描器、橡皮擦接收器等高科技設備。答案發射器發射的訊號，甚至可以穿透考場設置的無線電訊號屏蔽。報導引述武漢市招考辦官員表示，近年來各地通報的作弊事件出現不少高科技設備，包括只有米粒大小的隱形耳機，放在耳朵後很難被發現。不僅如此，還出現「口腔骨傳導耳機」，作弊者只要用牙齒咬住耳機，就能透過振動知道場外傳來的答案。甚至發現作弊者將接收器植入頭皮，利用身體晃動接收訊息的案例。報導說，不少作弊事件背後有「專業」的集團操刀，作弊集團先派人參加考試，用胸前配戴的相機將試卷掃描傳送出去，專業槍手在附近接收圖像，然後分頭答題，再把答案傳給考生。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,抑制移民流入 北歐國家控管邊界,丹麥總理拉爾斯．拉斯穆森今天宣布，丹麥在毗鄰德國的邊界立即實施控管，瑞典今天也開始在毗連丹麥的邊境實行管制，抑制移民流入。法新社報導，拉斯穆森（Lars Loekke Rasmussen）提及瑞典的作法說：「當其他北歐國家封閉邊界，會對丹麥造成重大影響。」他在哥本哈根對記者說：「那會導致流入更多的尋求庇護者。」德國針對北歐國家實施新的邊界控管提出警告表示，免護照自由旅行的申根區「處於險境」。德國外交部發言人雪佛（Martin Schaefer）在柏林告訴記者：「旅行自由是個重要原則，是近年來（歐洲聯盟）最大的成就之一。」有關丹麥宣布在德國邊境實施檢查，及瑞典同日在毗連丹麥的邊境實施控管，雪佛說：「申根區非常重要，但陷入險境。」不屬歐盟成員國、但隸屬申根區的挪威上週說，將開始送回來自申根區其他國家的無簽證難民，尤其是來自瑞典。雪佛說，「我們在歐洲找到共同解決方案攸關重大」，他指的是自二次世界大戰結束以來的最嚴重歐洲難民危機。他還說，歐洲現在必須把焦點放在確保外部邊界的安全。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,蔡英文新北中和造勢 提3大計畫,新北市中和區立委候選人江永昌的造勢晚會，選在漳和國中體育館，現場擠爆3千名中和鄉親，一樓滿座、二樓看台擠滿人潮，頂樓另有大會場，也是人潮滿滿，現場旗海揮舞。蔡英文致詞長達24分鐘，她表示，過去4年跟著團隊上山下海，找問題、找解方，更找人才加入改革行列，也點出台灣3問題：產業沒有發展動能，社會安全機制不夠，政治太對立給人民挫折感。因此蔡英文提出3個重要的計畫。第一是5大創新研發計畫，讓台灣產業快速轉型。包括讓經濟發展找回動力，如綠能、物聯網產業、智慧機械產業、生物科技、國防等，台灣有很好基礎，但需要更好的研發、創新，把這5個產業帶到下個世代，帶動整個台灣相關企業。第二是5大安全計畫，包含住宅、食安、長照、治安和年金永續。蔡英文說，做好這5件事，台灣就會像進步國家，給人民安全感；失敗有政府站後面扶一把，生活困難有政府讓你安心過日子，退休後政府讓你有退休金可領。不僅老小有人照顧，年輕人沒後顧之憂，更可以拼事業、拼生涯，創造新的就業機會給人民。第三是政治改革。蔡英文表示，要體現世代正義，得先顧好產業、做好財政紀律，不能把破碎台灣交給下一個世代，要讓年輕人對未來有希望，對台灣未來有完整選擇權。政府也要更有效率，成為最會溝通政府，跟在野黨、社會、人民、國會溝通，讓大家都知政府的施政、思考方向。另要改革國會，讓議長中立，讓幕僚更專業化，讓國會程序更公開透明。蔡英文說，她還要做轉型正義，釐清歷史事件，讓很多心理在歷史受害的人可以抹去心結，讓他們可以有自信的面對未來，台灣人才可團結。並表示她會廣納人才，不論黨派，只要願意加入政府行列，一定鼓勵大家一起做事。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,「新世紀福爾摩斯」香港、南韓票房開紅,「新世紀福爾摩斯：地獄新娘」繼在英國首播，締造跨年假期所有節目收視冠軍後，南韓與香港在戲院首映，雙雙開出票房紅盤。韓國短短2天即有69萬人次湧進戲院，合計約近2億新台幣累積票房。香港首2天也有約1600萬台幣，大陸今起在5000家戲院上映，賣座可期。在台灣，「新世紀福爾摩斯：地獄新娘」將從7日起連映30天，映期不延長、暫不上2輪與電視，喜歡班奈狄克康柏拜區的影迷，必須上戲院才能欣賞，BBC也特製幕後花絮，只供大銀幕播映，將有第4季情節玄機，不容錯過。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,今年彰縣國立高中職增收新生,今年彰化區國三畢業生1萬5538人，高中免試入學招收一般生1萬2709名，現今報名1萬3518人，每人平均0.92個免試入學機會，縣長魏明谷寫信給教育部長吳思華，爭取彰化區國立高中職每班增收兩名學生，已獲教育部核准彰化區的國、私立高中職各班增收1名，約可增收340名新生。教育處長林明裕說，今年納入五專免試分發名額324名、彰化高商等校增收98名，加上縣政府核准縣立高中每班增收2名、縣立和美高中增加1班，免試入學一般生招生總額約1萬3346名。，林明裕又表示，高中免試入學如果再加上外加名額的身心障礙與原住民534名及直升生612名、特色招生692名、技優甄選410名、實用技能812名、未受補助學校的獨立招生144名，全縣免試入學招生總額約1萬6454名，使今年國三生每人平均得到1.06個升學機會。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
