1,1,洪秀柱赴港 出席朱立倫競選造勢大會,立法院副院長、中國國民黨總統候選人朱立倫競選總部顧問團總團長洪秀柱今晚在香港出席造勢大會，為朱立倫助選，並呼籲港澳各界支持朱立倫和國民黨。這場由港澳中山文教研究總會主辦的「港澳各界支持朱立倫王如玄競選總統副總統造勢大會」，晚間在九龍倫敦大酒樓舉行，接近500名僑生、親台僑團成員及居港台籍人士出席。洪秀柱在大會上致辭時，呼籲各界為朱立倫競選總統加油打氣，也為國民黨加油。她接受記者訪問時說，不到最後關頭，不會鬆懈，期望國民黨候選人贏得最後勝利。洪秀柱又說，當前她個人的下一步並不重要，國民黨和國家的下一步才最重要；她呼籲各界繼續支持國民黨，強調台灣不能沒有國民黨。除了居港的台籍人士外，部分赴台讀書的僑生及親台僑團成員若擁有中華民國國籍，在這次總統、副總統選舉中也享有投票權。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,探索銀河系 歐洲太空總署擬建月球基地,歐洲太空總署（ESA）計畫在未來20年內，借助3D印表機在月球建造基地。英國「鏡報」（Mirror）報導，歐洲太空總署重申計畫利用月壤（regolith）打造「月球村」，藉此探索銀河系。月壤是月球表面的自然物質，能保護基地抵禦太空射線。未來的月球村最可能座落在月球南極邊緣的巨大隕石坑沙克爾頓坑（Shackleton），這裡能供應近乎無限的太陽能，也能保護基地不受月球極熱與極寒的溫度摧殘。歐洲太空總署2013年首度提出利用3D列印技術建造月球基地的構想，如今才列出時程表，計畫完成的時間可能落在2030年代。根據計畫，歐洲太空總署會在2020年代將機械人送上月球蒐集數據，為人類在月球上活動鋪路。在月球建造基地，將成為把人類送上火星這項終極目標的關鍵一步。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,沙國處決什葉教士 Q&A看懂伊斯蘭矛盾,沙烏地阿拉伯昨天處決47名死刑犯，包括具影響力的什葉派教士尼姆，引發中東地區各國什葉派領袖同聲譴責，恐將使得伊斯蘭教遜尼與什葉兩派關係進一步惡化，升高地區緊張情勢。根據美聯社與法新社等媒體資料，以下採問答方式解析此次事件的起因和背景，以及可能的影響：<strong>●沙國為何處決尼姆等47人？</strong>答：沙烏地阿拉伯內政部表示，遭處決的47人是因「恐怖主義」被定罪，他們因接受塔克菲理（takfiri）極端思想、加入「恐怖組織」及執行各種「犯罪陰謀」，被判有罪。遭處決者包括什葉派與遜尼派，其中有1名埃及人和1名查德人，其餘都是沙國人。<strong>●尼姆是誰？他被處決為何影響重大？</strong>答：56歲的什葉派教士尼姆（Nimr al-Nimr）是位極富領袖魅力的宗教領袖，經常慷慨陳詞，為遜尼派所掌控沙國的什葉派少數爭取更多權益。2011年沙國東部爆發示威風潮，響應震撼中東和非洲多國的「阿拉伯之春」運動，尼姆是重要推手尼姆2009年要求讓東部省（Eastern Province）什葉派地區卡提夫（Qatif）和阿沙（al-Ahsa）脫離沙國，併入什葉派居多數的鄰國巴林，觸怒當局。他後來大膽批評沙國和鄰國巴林執政的遜尼派家族，2014年10月遭當局以煽動暴動和攜帶火器等罪名判處死刑。美聯社指出，尼姆遭處決被視為對沙國改革派勢力的警告，他的死也將刺激自認遭歧視的沙國什葉派，並料將加劇沙國與伊朗中東爭霸的代理人戰爭。這兩個中東強國目前在敘利亞和葉門內戰分別支持敵對勢力。<strong>●什葉派與遜尼派有何差別？</strong>答：遜尼派與什葉派最初分道揚鑣是由於西元632年先知穆罕默德辭世時，應當由誰繼任領袖引起爭論，紛爭延續上千年。基本上，什葉派擁護穆罕默德的女婿阿里及後裔為領袖，遜尼派則認為應推選有資格的人為繼承人。兩派的教義、儀式、法律、神學和宗教組織都不同，也是伊斯蘭教歷史上由來最久而規模最大的分裂。目前遜尼派在穆斯林世界是占多數的宗派，但是什葉派約占伊拉克人口的60%，在伊朗更占89%，因此這次尼姆遭處決，兩伊領袖反應最為強烈。<strong>●伊朗對尼姆遭處決作何反應？</strong>答：沙烏地阿拉伯處決尼姆後，伊朗憤怒群眾對沙國駐德黑蘭大使館投擲汽油彈攻擊並闖入，其後遭警方驅離，至少有40人被捕，凸顯對沙國行動的不滿。伊朗領導人口徑一致，嚴厲譴責沙國作法，總統羅哈尼（Hassan Rouhani）痛批這種行徑完全不符伊斯蘭教，不啻自毀形象。伊朗最高領袖哈米尼（AyatollahAli Khamenei）更說，沙國的遜尼派政客將因為尼姆之死遭到天譴。<strong>●國際對此事反應如何？</strong>答：美國國務院警告沙烏地阿拉伯，處決尼姆「有可能加劇教派之間的緊張關係」，並要求沙國當局「尊重與維護」人權。歐洲聯盟同樣表達擔憂，憂慮這個已充斥教派緊張的區域出現「危險的後果」。聯合國秘書長潘基文也表示，對此事感到驚愕。國際特赦組織則說，此事顯示沙國正「利用處決來解決政治宿怨」，並。「反恐作為幌子」來箝制異議。<strong>●沙國現況如何？將受何種衝擊？</strong>答：自伊朗1979年的革命後，伊朗和沙國一直爭奪穆斯林世界霸主地位，2011年爆發阿拉伯之春運動後，兩國先後在敘利亞和葉門展開代理人戰爭，也在黎巴嫩、伊拉克和巴林支持敵對政治勢力，今後兩國在政治外交領域的交鋒料將更為激烈。沙國身為全球最大原油出口國，雖持續增產捍衛市場占有率，但由於國際油價已重挫六成，必須繼續降低對原油收入的依賴程度，以克服油價重挫的負面衝擊，因此這個黑金王國去年底不得不宣布，提高國內燃料、能源和用水價格，目前可說內憂外患，面臨多重壓力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,轉性愛女生 滅火器主唱妻宣告離婚,相戀9年、結婚不到3年的樂團「滅火器」主唱楊大正和音樂家鄭宜農離婚了！兩人2013年才結為夫妻，沒想到，鄭宜農3日對外坦言，因為喜歡的「是女生的身體」，雖然愛著老公的靈魂，但彼此經過長久努力，最後還是無法避免受傷，決定結束2年夫妻身分，令人震驚！<strong>以下是鄭宜農臉書全文～</strong>給長久以來一直支持著我與大正的朋友們：首先，這兩年來謝謝大家為我和大正的婚姻祝福，在2015年底，我們在擁抱彼此之後，以感傷但愉悅的方式，決定結束我們的愛情，卸下彼此情人的身份，但我們依然會是一起面對人生最重要的夥伴，是最好的朋友交往近九年的時間，我一直深深愛著大正的靈魂。大正有一顆很棒的心，並對我無條件理解與包容，這點一直到今天都沒有改變。但我自己卻不斷在自我認知中掙扎著，經過這幾個月反覆溝通，我們還是一起接受了”我沒有辦法愛他的身體“這個事實，這不是他的錯（說來害羞，但他的身體很好，真的！），而是因為我喜歡的，是女生的身體我的性傾向其實從很小的時候就很模糊，喜歡過一些很棒的靈魂，但對於相遇的異性，始終在身體這關宣告失敗，身體碰觸對我來說是具有壓力的，但因為也沒辦法喜歡很像男生的女生，一直以來吸引我的，都是兼具女性特質與男孩子氣的女孩，而這在當前的台灣社會是罕見的，是比較沒有定位的一種性向模式，所以自己想要的究竟是什麼，一直以來都沒有辦法確認與大正結婚，是因為我們在靈魂上契合，生活中那些只有彼此理解的玩笑與默契，都是很美很珍貴的東西，而一直以來為了守護這樣的美，也為了想讓對方可以快樂，我們都付出了非常大的努力，其中也包含痛苦和壓抑，到後來我們的靈魂都受傷了，而這是雙方最不樂見的非常感謝他到最後不僅選擇與我坦承相對，甚至兩個人可以做出「絕對不會遺棄對方」的承諾，現在我們都很好，可以無話不說、也幫助解決對方的問題，見面的時候還是可以自在的擁抱，但我們知道那是因為靈魂相愛著，而未來，我衷心期盼他能遇見一個可以同時愛他的身體與靈魂的人，那個人一定是很棒的人，因為大正標準很高看我就知道（笑），我希望他可以非常幸福至於我，現在對於愛情並沒有特別急躁，最重要的事情是把歌寫好，以及好好的生活公開談論這件事需要很大的勇氣，但身為一個舞台上的人，我們的一切包括婚姻，都一直是擺在檯面上讓大家看著，這是因為想讓大家知道創作是誠實的，我們不是什麼偶像、沒有太多包袱，如果大家能從我們身上或是創作中感受到能量，那就是很真實活出來的東西，是身而為人的各種體驗。今天我和大正一起坦承的面對自己的性向，多少一定會受到一些批評與抨擊，但是同樣的，這樣的行為如果能帶給人們一些正面的影響，我們覺得這樣就足夠了再一次感謝大家，也希望大家可以祝福我們，看到我們不需要尷尬，因為我們真的沒事，好得很！我們會繼續努力做音樂，如果你們喜歡的一直都是我們的歌，那請相信你們所聽見的。也謝謝我們的家人和朋友，一路上有他們的支持跟陪伴，真的是很幸福的事，尤其是我們的父母，原本以為對你們坦承會是一場硬仗，沒想到你們的反應都超酷！我們永遠是一家人最後要跟大正說，我為我們的愛感到驕傲，就如同我們經常談論的，包容和愛會讓世界更美好，很高興過程中我們完全沒有任何的怨懟與恨產生。親愛的人生夥伴，未來也一起加油吧！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,政治人物欠版面 Medium可容分說,政治人物多認為大眾媒體篇幅有限，無法講清楚說明白，美國政界近期廣泛運用社群媒體Medium，可繞過媒體編輯或意識型態的選擇，不過Medium還是引發是否中立的討論。媒體篇幅與空間有限，政治人物不分黨派常抱怨電視新聞訪問只有10到15秒的說話機會，報章新聞也只有2到3段談話可能獲刊載，許多複雜的政治或社會議題，無法完整表達論點，有些意見甚至遭斷章取義或扭曲，引起媒體與政治人物之間的緊張關係。政治人物更感到困擾的是，難以整體回應報章社論或評論性文章，牽涉立場與意識形態的論述，因不涉及事實本身，被指名者即使想辯駁都無法獲得刊載，政治人物認為有理卻說不清的情況下，新興社媒Medium應運而生。Medium不設任何編輯機制，政治人物可發表完整文章、照片與影音訊息。民主黨總統參選人希拉蕊，共和黨籍前國會議長貝納（John Boehner）與前總統候選人羅姆尼（Mitt Romney）等，如今都使用Medium首先公布重要訊息，而非報紙與電視媒體。白宮在2015年總統向國會提出國情咨文前，繞過先向大眾媒體公布全文的傳統，主動在演說前於Medium貼出全文，美國媒體反彈，多認為政界意圖繞過媒體的編輯與事實查證權。美國網路政治媒體Politico報導指出，Medium近期在華府政界相當活躍，訴求的就是政治人物在Medium可完整傳達與說明訊息，無須憂心編輯選擇。由於臉書（Facebook）與推特（Twitter）適合簡短訊息，長篇大論乏人閱讀，加上物以類聚的組群發展，資訊無法觸及整體受眾，使得Medium廣受美國政界歡迎。但公關稿無所不在，Medium也擔心版面被「葉佩雯」（業配文）攻佔，溝通功能打折，或受廣告業者左右言論導向，Medium近期已完成增資，希望維持版面獨立性。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,被俘上校獲勳章 林郁方：政府要鼓勵,國民黨立委林郁方今天針對軍情局被俘上校朱恭訓、徐章國獲頒獎章一事表示，政府要讓情報員知道，只要愛國、不洩密，一定會盡力救援，也會有相關補償，感謝他們為國犧牲。根據媒體報導，國防部官員證實被中共羈押長達9年，並於日前獲釋返台的國防部軍情局上校朱恭訓、徐章國，已在去年12月30日分別獲軍情局頒贈「甲種弼亮一星獎章」及「寶星二星獎章」。對此，林郁方今天受訪表示，這最早是他所建議，看到國防部能從善如流，他很高興。他認為朱、徐兩人是因為堅決不洩漏機密，不跟中共合作，才會被關了9年，並在監獄吃了很多苦頭。林郁方指出，他曾打電話給總統馬英九表示，朱、徐兩人是忠貞愛國的人，若不營救，他們很可能會死在牢中，尤其當中一人的妻子沒有等到丈夫回家就因癌症過世，小孩還必須託付給親戚，非常悽涼，所以當兩人獲釋後，他要求國防部一定要頒贈勳章給兩人。林郁方說，要鼓勵這些愛國的情報員，只要愛國、不洩密，政府一定會盡全力救他們出來，還會補償、獎勵並感謝，如今國防部能從善如流，頒給兩人勳章，他很高興。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,國民黨：蔡英文的經濟觀未能與國際接軌,中國國民黨今天表示，民進黨總統候選人蔡英文缺乏經濟專業，也未與新學界和實務界的觀念接軌。國民黨總統候選人朱立倫主張未來4年內，調高基本工資至新台幣3萬元，遭蔡英文諷可得諾貝爾獎。朱立倫昨天在電視辯論會上提及，美國7位諾貝爾經濟學獎得主曾寫信給國會、面見美國總統歐巴馬，希望以加薪帶動經濟成長。國民黨國際組組長黃裕鈞今天表示，蔡英文缺乏經濟專業，也未與新學界和實務界的觀念接軌，2014年1月14日這7位諾貝爾經濟學獎得主肯尼斯．阿羅（Kenneth J. Arrow）、勞勃．梭羅（Robert Solow）、麥可．斯彭斯（Michael Spence）、約瑟夫．史迪格里茲（Joseph Stiglitz）、湯瑪斯．謝林（ThomasSchelling）、埃里克．馬斯金（Eric Maskin）、彼得．戴蒙德（Peter Diamond）在內，超過600名經濟學家連署支持這項調整聯邦基本工資的聲明。黃裕鈞說，該聲明指出，原本薪資僅略高於基本工資的勞工，將可能因上述政策而感受到加薪的「外溢」效應，因為雇主會相應調整公司內部的薪級結構。聲明中表示有相當的證據顯示，提高基本工資，對於領取基本工資的就業人口只有極少或甚至毫無負面影響，即便是在就業市場不振之際亦然。研究顯示，提高基本工資倒可能為經濟帶來小幅激勵作用，因為當低薪勞工會因收入提高而增加消費，也會提高市場需求及就業成長，為改善整體就業產生助益。國民黨說，美國白宮於2014年初的新聞稿中也提到，歐巴馬總統在2014年國情咨文支持提高基本工資政策，預計未來數年內可以讓700萬勞工受惠。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,國民黨首波催票CF 訴求五年級生,2016大選投票日在即，為催出投票率，國民黨今在官方臉書上傳由中華民國工商建研會所製作的「我是五年級生」競選CF，由已居社會中堅的五年級生為主角，對當前各類反社會、反國家運動提出質疑與反思，呼籲民眾投票給「堅信的價值與國家」。國民黨人士表示，選戰最後關頭，希望藍營支持者走進投票所，部要讓前年底九合一選舉因為藍軍大量的不投票，導致當前政治社會亂象持續的遺憾重演。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,蔡批加薪難帶動經濟成長 國民黨：外行,民進黨總統候選人蔡英文批評國民黨總統候選人朱立倫主張員工加薪可帶動經濟成長做法可得諾貝爾獎。國民黨今天回擊，蔡英文缺乏經濟專業，也未與新學界和實務界的觀念接軌。國民黨國際組組長黃裕鈞表示，前年1月14日，包含肯尼斯．阿羅(KennethJ. Arrow)、勞勃．梭羅（Robert Solow)、麥可．斯彭斯（Michael Spence)、約瑟夫．史迪格里茲(Joseph Stiglitz)、湯瑪斯．謝林（Thomas Schelling)、埃里克．馬斯金(Eric Maskin)、彼得．戴蒙德(Peter Diamond)等7位諾貝爾經濟學獎得主在內，超過六百名經濟學家連署，發表支持美國調整聯邦基本工資聲明。該聲明指出，由於雇主會相應調整公司內部的薪級結構，原本薪資僅略高於基本工資勞工，調薪後將可感受到加薪的「外溢」效應。研究顯示，提高基本工資也可能為經濟帶來小幅激勵作用，增加消費也會提高市場需求與就業成長，改善整體就業環境。黃裕鈞說，美國白宮於2014年初新聞稿中曾提到，美國總統歐巴馬統在該年度國情咨文支持提高基本工資政策，預計未來數年內可以讓700萬勞工受惠。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,攻擊沙烏地使領館 伊朗總統：毫無道理,伊朗總統羅哈尼（Hassan Rouhani）今天譴責沙烏地阿拉伯處決著名什葉派教士尼姆（Nimr al-Nimr），但也譴責示威群眾攻擊沙國駐伊朗大使館和領事館「毫無道理」。官方「伊朗通訊社」（IRNA）在報導中引述羅哈尼的話：「一群激進分子昨晚攻擊德黑蘭大使館和麥什赫德（Mashhad）領事館，造成這兩個使領館受損，這些行動毫無道理，因為這些建築在伊朗伊斯蘭共和國應該在法律和宗教上受到保護。」伊朗昨晚已為這兩起攻擊案逮捕至少44人。沙烏地阿拉伯處決尼姆後，憤怒群眾投擲汽油彈攻擊，並闖入沙烏地駐德黑蘭大使館，其後遭伊朗警方驅離。伊朗第二大城市麥什赫德的沙國領事館也被縱火。伊朗外交部今天凌晨發表聲明，呼籲民眾冷靜。但是羅哈尼也批評沙烏地阿拉伯處決尼姆。「我毫不懷疑，沙烏地阿拉伯政府這項完全不符合伊斯蘭的行動，在世界各國，尤其是在伊斯蘭國家，已較以往更損及其形象。」伊朗最高領袖哈米尼（Ayatollah Ali Khamenei）今天連續第2天抨擊沙烏地阿拉伯。他說，沙國遜尼派政客將因為尼姆之死，遭到天譴。伊朗官方電視台報導，哈米尼表示：「這個被壓迫的殉難者在不公不義下濺出的鮮血，無疑會很快就顯現其後果，這些沙烏地政客將受到天譴。」路透社報導，伊朗官方電視台指出，哈米尼描述這項處決是「政治錯誤」。伊拉克、黎巴嫩和敘利亞的高階官員都譴責沙國這項處決。伊拉克什葉派最高領袖希斯塔尼（Ali al-Sistani）今天在聲明中表示，沙烏地阿拉伯處決尼姆是「不義的侵略」。他表示：「得知我們在這個地區的一群兄弟殉難，我們感到無比哀傷與痛惜。」「讓他們濺出純潔的鮮血，是不義和侵略。」尼姆曾在伊朗待了10多年研讀神學，2011年以來，推動沙國多起什葉派反政府示威。他昨天被以涉及「恐怖主義」罪名處決，連同他在內，共有47名什葉派與遜尼派人士遭到處決。這群人當中，還有多名2003年以來勾結蓋達組織（Al-Qaeda），涉及沙國多起致命爆炸案的好戰人士。這凸顯沙國已不再繼續容忍遜尼派聖戰士與尋求公平的什葉派少數族群的攻擊。什葉派主導的伊朗是遜尼派主政沙國的宿敵，伊朗回應尼姆之死時表示，「沙國政府支持恐怖運動與極端份子，卻以鎮壓和處決對待國內的批評者」。沙烏地阿拉伯昨天則指責伊朗資助恐怖主義與破壞區域穩定，兩國外交齟齬隨沙國處決尼姆而升高。沙國外交部發言人透過官方沙烏地新聞社（SPA）發布聲明說：「伊朗政權是世界上最不能指責他人資助恐怖主義的政權，因為（伊朗）是恐怖主義資助國，為聯合國和許多國家譴責。」沙國外交部也召喚伊朗駐利雅德大使，抗議德黑蘭針對尼姆遭處決發布的「挑釁」聲明。葉門青年運動（Houthi）昨天哀悼稱，遭沙烏地阿拉伯當局處決的尼姆是位「神聖的戰士」，並強烈譴責遜尼派主導的沙國。青年運動是阿拉伯半島最強大的什葉派武裝團體，也是沙國的大敵。美國昨天警告沙烏地阿拉伯，處決尼姆「有可能加劇教派之間的緊張關係」。美國國務院發言人柯比（John Kirby）表示，美國同時要求沙國當局「尊重與維護」人權。沙國人口以遜尼派穆斯林占大多數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
