1,0,新台幣匯率連七貶 收33.27元,新台幣對美元匯率連七貶，今日收盤續貶3.4分，收在33.27元，續創逾三個月新低，台北外匯經紀公司成交量為7.67億美元。2016年匯市開紅盤，新台幣跟著人民幣重挫，盤中實質交易價貶破33元大關。但今日外匯市場傳出，中國人民銀行透過大型銀行進場干預，試圖阻貶人民幣匯率，但市場看貶人民幣風氣仍盛。影響所及，匯銀主管指出，新台幣今日上午實質走勢仍顯疲弱，但實質匯價貶破33元後，出口商進場拋售美元，使新台幣貶幅受到壓抑，尾盤央行進場助貶，使新台幣貶至33.27元後，連七日貶值報收。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,游錫陪洪宗熠掃街 籲年輕人投票,前行政院長游錫&,22531;今天下午到彰化縣第三選區，陪民進黨立委候選人洪宗熠車隊掃街拜票，呼籲年輕人返鄉投票。游錫&,22531;說，希望年輕人不要以為「蔡英文不缺我這一票」就不投票，而是更應該返鄉投票，讓國際都知道台灣真正的民意。游錫&,22531;陪著洪宗熠車隊掃街拜票，行經二林鎮熱鬧區域不斷與選民揮手致意，也有熱情選民點燃鞭炮歡迎，兩人在仁和宮暫停參拜，並高喊「凍蒜」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,遠翔與類比股份轉換案,台灣類比科技股份有限公司與遠翔科技股份有限公司上午各別召開董事會，決議通過遠翔所有股權與類比進行股份轉換案，股份轉換完成後，遠翔將成為類比科百分之百之子公司。換股比例為每一股遠翔普通股換類比科0.8普通股。台灣類比科技董事長劉紹宗與遠翔科技董事長林登財下午出席證券櫃買賣中心記者會，宣布股份轉換案。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,跨語言研究破迷思 中英文學習都在左腦,過去常認為中文學習用右腦，英文學習用左腦，但根據跨語言研究顯示，人類語言的閱讀和書寫運作都在左腦，且口語和閱讀也存在一定相關性。台灣師範大學、陽明大學、中央大學、台北醫學大學、交通大學今天舉行學術成果聯合發表會，由中央研究院士曾志朗、中大認知神經科學研究所長吳嫻、陽明神經科學研究所副教授郭文瑞、台師大教育心理與輔導系副教授李俊仁等人組成的團隊，分享跨國、跨語文的腦造影研究。曾志朗表示，1861年時，法國神經學家兼外科醫生布羅卡(Broca)針對失語症患者進行研究與治療時，發現人類的語言運作是在左腦，研究團隊針對台灣、美國、以色列和西班牙等4國的研究者，以中文、英語、希伯來文和西班牙語進行腦造影研究，證實人類語文閱讀和書寫運作都在左腦。李俊仁表示，過去傳統想法認為中文是象形文字，由於大腦的圖像處理能力在右腦，因此推論中文處理是在右腦，英文是拼音文字，則在左腦處理，但團隊針對4種不同語言研究，發現4種語言在聽覺或視覺的詞彙處理上，在大腦活化情形幾乎一樣，也就是不管何種語言的運作都在左腦。李俊仁也指出，傳統上大家認為中文在口語和閱讀存在差異，但研究也發現，口語和閱讀其實仍存在相關性，若是注音符號沒學好，也可能造成以後的閱讀障礙，因此未來在推動閱讀教育時，也可以加入口語方面的教學，讓其相輔相成。從研究可發現，各種不同語言的母語在大腦使用情形很類似，但吳嫻指出，若是第二外語，大腦使用情形可能就有不同，根據初步研究，第二外語可能因學習年紀、學習方法的不同而有差異，例如越小開始學外語，或生活化學外語，可能和母語交融的越好，越晚學兩者可能越像獨立系統。吳嫻表示，雙語交融程度高，未必等於兩種語言表現好，很多家長希望不要輸在起跑點，但不少研究也顯示，學齡前兒童接觸過多語言刺激，會產生困惑，因此還是要在適性、自然的環境下學習，且兒童大腦學習總量是固定的，學雙語和只學中文的孩子相比，學到的詞彙量也會有差異。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,日本承認慰安婦責任 韓民眾看法參半,對於去年12月28日韓日政府協議的日軍慰安婦問題解決方案，南韓民調顯示民眾看法各異，47.6%受訪者表示「同意」，47.9%「不同意」。去年12月29至30日，南韓「中央日報」針對全國1000名成年人進行問卷調查，得出上述結果。報導引述南韓國立外交院教授趙陽賢（音）表示，對於兩國協議的主要內容，民意正出現分裂，政府對民眾解釋不足是導致這種情況的主因。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,腦波控制遊戲 增加孩童專注力,"<div class=""video-container""><iframe width=""640"" height=""360"" frameborder=""0"" allowfullscreen src=""//video.udn.com/embed/news/421728""></iframe></div>屏東大學資訓學院學生研發腦波控制遊戲，針對孩童設計水族箱夾娃娃機和射擊遊戲，小朋友戴上感應器，就能自動偵測緊張和放鬆的腦波，訓練孩子提升專注力，目前部分作品已申請專利，未來有機會商品化。指導老師黃鎮淇表示，「幼兒潛能腦力開發水族箱」，藉由偵測幼兒腦波，自動控制機器夾住顏色球，可從遊戲中認識顏色以及增加專注力，作品曾獲全國大專院校資訊應用服務創新競賽資訊技術應用組第三名，目前已申請專利。師生還研究了「腦波控制射擊遊戲」，利用藍芽傳輸腦波儀器偵測到的腦波，只要專注力足夠，就能啟動裝置讓球進洞，學生鄭至宏表示，「遊戲可用來訓練孩童的專注力」，自己測試後，投籃距離抓得更準確。校長古源光表示，學生的研發作品如同未經琢磨的玉，讓產業界看見這些創業資源，而「自學中心」就如同共同研發中心，多組團隊相互腦力激盪，發揮創意，目標成為南台灣研發基地。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,苗61線土石崩落 交通一度受阻,苗栗縣大湖鄉苗61線道路香林段土石崩落，雖無人員受傷，但該路段屬大湖通往泰安後山的重要道路，近千名居民出入交通一度中斷，相關單位全力搶通。苗61線道路香林段今天下午1時許發生土石滑落，大量土石占據路面，造成道路雙向無法通行，鄉公所接獲民眾通報立即派遣機具人車清除落石，現場最大顆石塊重達近1噸，令人怵目驚心，至下午3時許已搶通，恢復通行。大湖鄉長胡娘妹指出，苗61線是大湖往來泰安鄉主要連絡道路，除大湖鄉大南、大興等村，泰安後山的象鼻、士林、梅園3村、司馬限部落等，逾千名居民都仰賴這條路出入，平日車輛往來頻繁，還好發生落石第一時間並未砸中車輛。胡娘妹表示，山區連日陰雨，該路段前天也曾發生落石阻斷交通，所幸均未造成傷亡，未來希望爭取興建明隧道或加強防護措施，確保行車安全。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,台聯質疑國民黨施壓獲路權 警方否認,台灣團結聯盟立法院黨團總召集人賴振昌今天質疑，國民黨向台北市警局施壓，以取得選前凱道周遭路權；台北市警局表示，當天依法核准6個團體使用路權，並沒有遭受國民黨壓力。賴振昌今天舉行記者會指出，選前黃金週總統府前是各政黨舉辦活動必爭之地，台聯取得1月9日晚間凱達格蘭大道及仁愛路、信義路周邊路權，並向中正一分局申請獲准；但台北市警局卻也核准關廠工人與國民黨同日下午在自由廣場的集會遊行。賴振昌說，台聯雖然是靜態活動，但關廠工人與國民黨都是動態遊行，難道警方沒有考慮維安問題？只要有少數人挑釁、越界，很有可能釀成衝突。傳聞國民黨有相關人員透過預算威脅，向台北市警局施壓，希望市警局就範來核准路權。對此，出席記者會的台北市警局保安科副科長陳勇華表示，中正一分局核准1月9日台聯及其他5個政黨團體的集會遊行活動；基於憲法保障人民集會遊行權力，在公平、合理考量各團體提出的集會遊行，經過審核以後，上述6個團體均取得台北市政府核准的路權使用，基於保障合法、制裁暴力、防處暴力的原則來處理。而針對台聯提出的質疑，陳勇華特別強調，台北市警局並沒有遭受國民黨壓力，國民黨是在104年12月18日就取得路權，並在12月25日遞件申請集會遊行，市警局就國民黨提出申請的相關文件，「並沒有不予核准的理由」。中正一分局督察組長林本泓則表示，中正一分局會規劃適當警力，在2個團體活動期間，確保所有參加活動民眾能安全無虞，相信所有舉辦活動的團體會有高度自制力，在警力規劃上會做適當考量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,談陽明交大合校 交大校長：同行致遠,"<div class=""video-container""><iframe width=""640"" height=""360"" frameborder=""0"" allowfullscreen src=""//video.udn.com/embed/news/421727""></iframe></div>陽明大學與交通大學兩所頂尖大學擬合校引發爭議，交通大學今天舉辦交大120周年校慶系列記者會，校長張懋中以「同行致遠」四字回應，指出交大非常歡迎志同道合、相輔相成的大學一起開發。張懋中說「同行致遠」四個字，代表著如果要走得快可自己走，但要走得遠要大家一起走；交大目前與陽明談「合校」，而非「併校」，現今生物科技發達，交大和陽明各有專長，兩個學校互補，這是目前正在努力的方向。談到學生抗議近日才知「合校備忘錄」已簽，質疑程序黑箱。張懋中表示，目前這只是「合校備忘錄」，代表兩校有意願來商談，並無最終的答案，也還未做成決定。兩校在15年前已簽備忘錄，目前只是重新展開談判。呼籲兩校的同學不用擔心，最後的校名都會保留，因為交大有120年傳統、陽明有40年傳統，兩校都不可能會消失，若合校將稱為「國立陽明交通大學」。張懋中說明，現今只是第一步，雙方都有合校的意願，這能擴展同學學習的領域，而非為任何人的個人利益，他以自身為例，合校後兩位校長恐會有一位得消失，因此這是把國家、社會、同學發展看為第一優先的機會，能促成雙贏的結果。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,瓦城徵才 兼職年節期間享雙倍薪,瓦城目前在兩岸設有90家分店，2016年新年徵才計畫已啟動，預計招募百人，首場徵才6日將在高雄展開；薪資待遇方面，主管月薪有機會挑戰新台幣6萬元，兼職年節期間享雙倍薪。上櫃觀光股瓦城泰統旗下「瓦城泰國料理」、「1010湘」、「大心 新泰式麵食」，其中大心在一年半開設14家分店，展現亮眼成績。有鑑旗下各品牌持續穩健拓點，加上農曆年節餐飲旺季的人力需求，瓦城2016年徵才系列活動將於6日起跑，預計招聘上百名人力，包括正職或兼職的餐廳服務人員及廚師，首場徵才於「瓦城」高雄明誠店舉辦。在薪資待遇及福利方面，瓦城表示，兼職同仁於年節期間可享雙倍薪水待遇，預計將吸引不少學生族群及有意兼職增加工作資歷與短期收入的朋友加入，正職同仁可享月休8日福利。餐廳服務兼職同仁者，加計獎金後，時薪可達新台幣140至170元，若經1至2年的培訓考核、升遷為主管後，餐廳主管有機會挑戰月薪6萬；而廚師人才，即使剛畢業尚無經驗者，起薪有機會達到2萬9000元，再依據個人培訓考核升遷，有機會挑戰月薪6萬。瓦城表示，瓦城泰統集團有獨家人才培育系統，提供餐飲人才公開透明的升遷環境，針對餐廳服務人員，規劃「十一級職階徽章」培育制度，能以系統化、階段式的職能訓練，強化同仁專業技能，並透過公平的考核晉升平台，配合明確調薪機制。對於廚師同仁，瓦城另有「十一級臂章制度」，打破傳統師徒體制，讓東方廚藝知識系統化，只要13個月就能培養爐炒廚藝技能，達到傳統中式廚師約5年才能夠達到站爐的成績，打造有效率的學習方式。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
